,Totally Disagree,Disagree,Agree,Totally agree
0,1,0,44,70
1,1,9,55,50
2,2,43,57,13
3,4,42,55,14
4,2,23,62,28
5,19,43,48,5
6,17,37,52,9
7,18,47,45,5
8,20,56,35,4
9,23,57,31,4
10,4,25,51,35
11,3,7,61,44
12,5,25,57,28
13,2,16,62,35
14,1,19,65,30
15,1,12,42,60
16,1,6,51,57
17,3,12,54,46
18,2,7,55,51
19,11,31,46,27
20,0,4,41,70
21,2,14,58,41
22,0,4,53,58
23,7,50,34,24
24,0,15,44,56
25,0,3,57,53
26,0,12,59,41
27,3,14,64,32
28,1,18,44,48
29,4,39,57,12
30,11,39,51,14
31,4,26,53,20
