question,totally_disagree,disagree,agree,totally_agree,total_answers
0,1,0,44,70,115
1,1,9,55,50,115
2,2,43,57,13,115
3,4,42,55,14,115
4,2,23,62,28,115
5,19,43,48,5,115
6,17,37,52,9,115
7,18,47,45,5,115
8,20,56,35,4,115
9,23,57,31,4,115
10,4,25,51,35,115
11,3,7,61,44,115
12,5,25,57,28,115
13,2,16,62,35,115
14,1,19,65,30,115
15,1,12,42,60,115
16,1,6,51,57,115
17,3,12,54,46,115
18,2,7,55,51,115
19,11,31,46,27,115
20,0,4,41,70,115
21,2,14,58,41,115
22,0,4,53,58,115
23,7,50,34,24,115
24,0,15,44,56,115
25,0,3,57,53,113
26,0,12,59,41,112
27,3,14,64,32,113
28,1,18,44,48,111
29,4,39,57,12,112
30,11,39,51,14,115
31,4,26,53,20,103
