,Totally Disagree,Disagree,Agree,Totally agree
0,2,9,111,122
1,2,30,124,88
2,4,31,119,90
3,10,43,138,53
4,33,54,85,72
5,43,79,89,33
6,48,83,94,19
7,51,98,80,15
8,50,102,75,17
9,51,96,80,17
10,26,42,119,57
11,31,43,101,69
12,25,51,115,53
13,54,51,88,51
14,48,59,90,47
15,72,59,68,45
16,86,49,60,49
17,84,59,68,33
18,87,57,67,33
19,86,64,66,28
20,4,11,93,136
21,3,15,110,116
22,2,21,106,115
23,7,60,85,92
24,10,59,104,71
25,8,28,123,74
26,10,35,133,56
27,16,50,132,41
28,14,66,100,53
29,13,69,131,28
30,24,82,108,24
31,36,88,83,23
