question,totally_disagree,disagree,agree,totally_agree,total_answers
1,2,9,111,122,244
2,2,30,124,88,244
3,4,31,119,90,244
4,10,43,138,53,244
5,33,54,85,72,244
6,43,79,89,33,244
7,48,83,94,19,244
8,51,98,80,15,244
9,50,102,75,17,244
10,51,96,80,17,244
11,26,42,119,57,244
12,31,43,101,69,244
13,25,51,115,53,244
14,54,51,88,51,244
15,48,59,90,47,244
16,72,59,68,45,244
17,86,49,60,49,244
18,84,59,68,33,244
19,87,57,67,33,244
20,86,64,66,28,244
21,4,11,93,136,244
22,3,15,110,116,244
23,2,21,106,115,244
24,7,60,85,92,244
25,10,59,104,71,244
26,8,28,123,74,233
27,10,35,133,56,234
28,16,50,132,41,239
29,14,66,100,53,233
30,13,69,131,28,241
31,24,82,108,24,238
32,36,88,83,23,230
